id,name,phone_number,url,notification,primary_care_doctor,adress,holiday_support
1,クリニックフォア大手町,web予約,https://reservation.clinicfor.life/c/otemachi,なし,1,東京都千代田区大手町1-2-1Otemachi One 地下1F,0.0
2,医療法人社団リーレ リーレクリニック大手町,03-5224-6672,-,なし,1,東京都千代田区大手町１-３-２,0.0
3,医療法人社団渡邊内科,03-3245-2800,https://www.drwatanabe.com,コロナ陽性の方のオンライン診療と処方を行っています。診察時間をWEB予約したうえで、アプリをダウンロードして登録し、準備をしてください。,0,東京都千代田区大手町1-7-2東京サンケイビル地下1F,0.0
4,大手町フィナンシャルシティ西山クリニック,03-3270-2986,-,なし,0,東京都千代田区大手町1-9-4 大手町フィナンシャルシティ ノースタワー４F,0.0
5,聖路加国際病院附属クリニック 聖路加メディローカス,03-3527-9520,-,なし,0,東京都千代田区大手町１丁目９番7号 大手町フィナンシャルシティサウスタワー2階,0.0
6,東京ビジネスクリニック 八重洲北口,03-6268-0079,【オンライン診療予約サイト】 https://ckreserve.com/clinic/tbconline,【発熱外来受診予定の方】 予約不要です。直接当院へお越しください。 ,1,東京都千代田区丸の内1-8-2 鉄鋼ビルディング地下1階,1.0
7,東京ビジネスクリニック グランスタ丸の内,03-6259-1605,【オンライン診療予約サイト】https://ckreserve.com/clinic/tbconline,【発熱外来受診予定の方】 予約不要です。直接当院へお越しください。,1,東京都千代田区丸の内1-9-1 JR東日本東京駅構内地下1階,1.0
8,医療法人社団公颯会 東商ビル診療所,03-3283-7781,-,なし,1,東京都千代田区丸の内3-2-2 丸の内二重橋ビルディング地下1階,0.0
9,MARU By Tokyo Business Clinic,03-6269-9475,【オンライン診療予約サイト】https://ckreserve.com/clinic/tbconline,なし,1,東京都千代田区丸の内1-8-2 鉄鋼ビルディング1階,1.0
10,"医療法人社団榊原厚生会
榊原サピアタワークリニック",03-5288-0011,-,なし,0,東京都千代田区丸の内１丁目７-１２サピアタワー7階,0.0
11,クリニックフォア有楽町,web予約,https://reservation.clinicfor.life/c/yurakucho,なし,1,東京都千代田区有楽町２‐７‐１ 有楽町イトシアB1F,0.0
12,有楽町ビル内科外科麻酔科,03-3213-2346,-,なし,1,東京都千代田区有楽町1-10-1有楽町ビル4階416号,0.0
13,日比谷クリニック,03-3215-1105,-,なし,1,東京都千代田区有楽町1-7-1有楽町電気ビル南館３階,0.0
14,医療法人社団渡航者健診クリニック,03-3212-0105,-,なし,1,東京都千代田区有楽町１-７-１有楽町電気ビル南館３階,0.0
15,医療法人社団西端耳鼻咽喉科,03-3214-9047,-,なし,0,東京都千代田区有楽町2-10-1,0.0
16,宮入内科,03-3211-4845,-,なし,0,東京都千代田区有楽町2丁目10-1 東京交通会館3階,2
17,中田クリニック,03-5511-7770,-,なし,1,東京都千代田区内幸町２-２-１-Ｂ１ 中田クリニック,0.0
18,医療法人社団石川記念会日比谷石川クリニック,03-3591-8081,-,自院かかりつけの透析患者のみ,0,東京都千代田区内幸町1-1-1　帝国ホテルタワー5階,1.0
19,医療法人社団青十字会 日比谷国際クリニック,03-3503-3460,-,なし,1,東京都千代田区内幸町2-2-3 日比谷国際ビル地下一回,2
